,position
354,"['CDM', 'CM']"
355,"['CM', 'CDM']"
356,['CB']
357,['CB']
358,['GK']
359,['CB']
360,"['RB', 'RWB']"
361,['CM']
362,"['LW', 'LM', 'CAM']"
363,"['CM', 'ST', 'CAM', 'LM']"
364,['CB']
365,['RM']
366,"['LB', 'CB']"
367,['CB']
368,"['CM', 'RM', 'RB']"
369,"['CM', 'CDM']"
370,['ST']
371,"['LB', 'LWB']"
372,['CB']
373,['GK']
374,['CB']
375,"['CAM', 'CM']"
376,['ST']
377,['ST']
378,['CM']
379,"['CF', 'ST']"
380,"['CM', 'RW', 'LW']"
381,"['LW', 'RW', 'CAM', 'LM']"
382,['ST']
383,['ST']
384,"['CB', 'LB']"
385,['ST']
386,['GK']
387,['CAM']
388,"['CDM', 'CM']"
389,['CB']
390,"['LM', 'LW', 'ST', 'RM']"
391,"['LM', 'RM']"
392,"['CDM', 'CM']"
393,['ST']
394,['CB']
395,['CB']
396,"['CB', 'LB']"
397,"['CDM', 'CM']"
398,"['CM', 'CAM', 'CDM']"
399,['CB']
400,"['RM', 'ST']"
401,"['CAM', 'CM']"
402,"['LM', 'CAM']"
403,['RB']
404,"['RM', 'LM', 'CM']"
405,['CB']
406,['CM']
407,['LB']
408,['LB']
409,"['CDM', 'CM', 'RM', 'RB']"
410,"['LB', 'LM', 'CM']"
411,"['LB', 'CDM']"
412,"['CM', 'CDM']"
413,"['CDM', 'CM']"
414,"['LW', 'LM', 'CAM']"
415,['ST']
416,['CB']
417,"['CM', 'CDM']"
418,"['ST', 'RW', 'LW']"
419,['CDM']
420,"['ST', 'RM']"
421,['RM']
422,['LM']
423,"['CM', 'LM', 'RM']"
424,['GK']
425,['CB']
426,"['CDM', 'CM']"
427,['CB']
428,"['CDM', 'CM']"
429,['RB']
430,['GK']
431,"['RWB', 'RB']"
432,['CB']
433,"['CM', 'CAM']"
434,['CB']
435,"['CB', 'CDM']"
436,['CB']
437,['LB']
438,['CB']
439,['GK']
440,"['ST', 'RW', 'RM']"
441,"['CM', 'CAM', 'CDM']"
442,['CM']
443,"['ST', 'RM', 'RW']"
444,"['CAM', 'RW', 'CM']"
445,['ST']
446,['ST']
447,"['CM', 'CDM']"
448,"['RM', 'LM', 'CM']"
449,"['CDM', 'CM']"
450,"['RM', 'RWB', 'RW', 'LWB']"
