,Nationality
1723,Uruguay
1724,Bosnia Herzegovina
1725,Morocco
1726,Spain
1727,France
1728,Chile
1729,Brazil
1730,Ghana
1731,Nigeria
1732,France
1733,Brazil
1734,Brazil
1735,Argentina
1736,Norway
1737,Argentina
1738,Uruguay
1739,Spain
1740,Argentina
1741,Brazil
1742,Brazil
1743,Russia
1744,Italy
1745,Portugal
1746,Spain
1747,Nigeria
1748,Spain
1749,France
1750,Serbia
1751,Brazil
1752,Moldova
1753,Peru
1754,Colombia
1755,Slovenia
1756,Austria
1757,Italy
1758,Japan
1759,Senegal
1760,Ukraine
1761,Netherlands
1762,France
1763,Mexico
1764,Spain
1765,Brazil
1766,France
1767,Argentina
1768,Germany
1769,France
1770,Brazil
1771,Mexico
1772,South Africa
1773,Italy
1774,Brazil
1775,Argentina
1776,Brazil
1777,Argentina
1778,Russia
1779,Brazil
1780,Georgia
1781,Nigeria
1782,Mali
1783,Netherlands
1784,Spain
1785,Spain
1786,France
1787,Italy
1788,Italy
1789,Ukraine
1790,Spain
1791,Wales
1792,Egypt
1793,Brazil
1794,Colombia
1795,Germany
1796,Netherlands
1797,United States
1798,Norway
1799,Ivory Coast
1800,Romania
1801,Italy
1802,Brazil
1803,Argentina
1804,Colombia
1805,Netherlands
1806,Turkey
1807,Germany
1808,Netherlands
1809,England
1810,Tunisia
1811,Chile
1812,Portugal
1813,Colombia
1814,Algeria
1815,Austria
1816,Belarus
1817,Gabon
1818,Georgia
1819,Austria
1820,Colombia
1821,Switzerland
1822,Netherlands
1823,Jamaica
1824,Brazil
1825,Brazil
1826,Brazil
1827,Brazil
1828,Italy
1829,Colombia
1830,Portugal
1831,Mexico
1832,Argentina
1833,England
1834,Argentina
1835,Belgium
1836,Belgium
1837,Ivory Coast
1838,Paraguay
1839,Slovakia
1840,Chile
1841,Argentina
1842,Brazil
1843,Belgium
1844,France
1845,Switzerland
1846,Argentina
1847,Brazil
1848,Poland
1849,France
1850,France
1851,Netherlands
1852,Mexico
1853,Senegal
1854,Uruguay
1855,Argentina
1856,Germany
1857,France
1858,Chile
1859,Russia
1860,Italy
1861,Denmark
1862,Bolivia
1863,Brazil
1864,England
1865,Venezuela
1866,Egypt
1867,Argentina
1868,Brazil
1869,Poland
1870,Germany
1871,Serbia
1872,Portugal
1873,Spain
1874,Brazil
1875,Italy
1876,France
1877,Argentina
1878,Netherlands
1879,Sweden
1880,Italy
1881,Netherlands
1882,Ivory Coast
1883,Belgium
1884,Paraguay
1885,Netherlands
1886,Colombia
1887,Colombia
1888,Republic of Ireland
1889,Uruguay
1890,Belgium
1891,Argentina
1892,FYR Macedonia
1893,Germany
1894,Germany
1895,Serbia
1896,Brazil
1897,Colombia
1898,France
1899,Italy
1900,Germany
1901,France
1902,Ghana
1903,Mozambique
1904,Austria
1905,Netherlands
1906,Chile
1907,England
1908,Uruguay
1909,Ghana
1910,Germany
1911,Mexico
1912,Sweden
1913,Colombia
1914,Germany
1915,Brazil
1916,Italy
1917,Morocco
1918,France
1919,Georgia
1920,Serbia
1921,Spain
1922,Morocco
1923,Ghana
1924,Spain
1925,Japan
1926,Netherlands
1927,Italy
1928,Netherlands
1929,Netherlands
1930,England
1931,Mexico
1932,Spain
1933,Netherlands
1934,Cameroon
1935,Serbia
1936,England
1937,Scotland
1938,Scotland
1939,Mali
1940,England
1941,Italy
1942,Slovenia
1943,England
1944,Spain
1945,Greece
1946,Spain
1947,Cameroon
1948,England
1949,Uruguay
1950,England
1951,Sweden
1952,Algeria
1953,Spain
1954,Italy
1955,Serbia
1956,Argentina
1957,Argentina
1958,Russia
1959,Italy
1960,Ivory Coast
1961,Portugal
1962,Italy
1963,Chile
1964,Netherlands
1965,Portugal
1966,Turkey
1967,Argentina
1968,France
1969,Turkey
1970,France
1971,Switzerland
1972,Brazil
1973,Japan
1974,Peru
1975,Colombia
1976,Germany
1977,Scotland
1978,Argentina
1979,Cape Verde
1980,DR Congo
1981,Nigeria
1982,Russia
1983,Spain
1984,Germany
1985,Tunisia
