,Weight
729,70kg
730,87kg
731,78kg
732,87kg
733,79kg
734,88kg
735,74kg
736,83kg
737,88kg
738,80kg
739,68kg
740,72kg
741,70kg
742,81kg
743,75kg
744,75kg
745,65kg
746,75kg
747,77kg
748,72kg
749,72kg
750,82kg
751,70kg
752,65kg
753,70kg
754,81kg
755,89kg
756,75kg
757,82kg
758,76kg
759,71kg
760,70kg
761,67kg
762,80kg
763,75kg
764,83kg
765,83kg
766,88kg
767,80kg
768,79kg
769,63kg
770,70kg
771,83kg
772,67kg
773,96kg
774,72kg
775,85kg
776,85kg
777,89kg
778,76kg
779,61kg
780,81kg
781,89kg
782,70kg
783,63kg
784,75kg
785,79kg
786,67kg
787,78kg
788,78kg
789,67kg
790,85kg
791,73kg
792,76kg
793,80kg
794,65kg
795,72kg
796,80kg
797,78kg
798,79kg
799,83kg
800,82kg
801,72kg
802,77kg
803,95kg
804,82kg
805,81kg
806,89kg
807,78kg
808,83kg
809,78kg
810,73kg
811,80kg
812,82kg
813,73kg
814,80kg
815,71kg
816,71kg
817,76kg
818,77kg
819,83kg
820,76kg
821,64kg
822,77kg
823,78kg
824,78kg
825,84kg
826,79kg
827,74kg
828,76kg
829,88kg
830,89kg
831,78kg
832,82kg
833,72kg
834,85kg
835,92kg
836,81kg
837,80kg
838,76kg
839,83kg
840,67kg
841,72kg
842,70kg
843,78kg
844,75kg
845,80kg
846,65kg
847,62kg
848,70kg
849,79kg
850,87kg
851,70kg
852,91kg
853,84kg
854,67kg
855,66kg
856,86kg
857,93kg
858,85kg
859,91kg
860,85kg
861,80kg
862,86kg
863,70kg
864,72kg
865,73kg
866,78kg
867,78kg
868,84kg
869,78kg
870,78kg
871,82kg
872,90kg
873,80kg
874,81kg
875,69kg
876,79kg
877,78kg
878,78kg
879,74kg
880,90kg
881,72kg
882,80kg
883,79kg
884,72kg
885,73kg
886,74kg
887,74kg
888,81kg
889,77kg
890,81kg
891,66kg
892,75kg
893,76kg
894,68kg
895,84kg
896,73kg
897,70kg
898,72kg
899,75kg
900,74kg
901,75kg
902,75kg
903,75kg
904,72kg
905,90kg
906,82kg
907,82kg
908,76kg
909,81kg
910,80kg
911,85kg
912,68kg
913,70kg
914,74kg
915,79kg
916,91kg
917,83kg
918,66kg
919,80kg
920,81kg
921,81kg
922,79kg
923,81kg
924,81kg
925,78kg
926,75kg
927,83kg
928,73kg
929,72kg
930,77kg
931,73kg
932,81kg
933,67kg
934,75kg
935,70kg
936,66kg
937,80kg
938,74kg
939,69kg
940,70kg
941,83kg
942,99kg
943,76kg
944,72kg
945,68kg
946,82kg
947,82kg
948,63kg
949,71kg
950,85kg
951,74kg
952,67kg
953,77kg
954,87kg
955,75kg
956,80kg
957,85kg
958,72kg
959,82kg
960,71kg
961,75kg
962,88kg
963,74kg
964,75kg
965,85kg
966,84kg
967,63kg
968,85kg
969,85kg
970,76kg
971,74kg
972,61kg
973,70kg
974,85kg
975,85kg
976,67kg
977,77kg
978,63kg
979,78kg
980,80kg
981,76kg
982,80kg
983,88kg
984,86kg
985,69kg
986,81kg
987,67kg
988,76kg
989,73kg
990,65kg
991,78kg
992,78kg
993,82kg
994,73kg
995,76kg
996,75kg
997,73kg
998,79kg
999,83kg
1000,81kg
1001,78kg
1002,70kg
1003,73kg
1004,80kg
1005,73kg
1006,70kg
1007,81kg
1008,75kg
1009,78kg
1010,76kg
1011,76kg
1012,77kg
1013,80kg
1014,80kg
1015,86kg
1016,80kg
1017,73kg
1018,67kg
1019,76kg
1020,76kg
1021,86kg
1022,64kg
1023,75kg
1024,74kg
1025,75kg
1026,60kg
1027,91kg
1028,85kg
1029,74kg
1030,81kg
1031,74kg
1032,70kg
1033,79kg
1034,89kg
1035,76kg
1036,87kg
1037,77kg
1038,74kg
1039,84kg
1040,67kg
1041,74kg
1042,75kg
1043,92kg
1044,90kg
1045,79kg
1046,84kg
1047,78kg
1048,76kg
1049,74kg
1050,78kg
1051,80kg
1052,62kg
1053,65kg
1054,77kg
1055,80kg
1056,91kg
1057,85kg
1058,69kg
1059,72kg
1060,79kg
1061,71kg
1062,79kg
1063,70kg
1064,75kg
1065,77kg
1066,66kg
1067,66kg
1068,72kg
1069,85kg
1070,79kg
1071,79kg
1072,75kg
1073,87kg
1074,67kg
1075,75kg
1076,79kg
1077,74kg
1078,88kg
1079,92kg
1080,81kg
1081,69kg
1082,72kg
1083,71kg
1084,83kg
1085,76kg
1086,84kg
1087,81kg
1088,71kg
1089,68kg
1090,74kg
1091,75kg
1092,73kg
1093,79kg
1094,67kg
1095,70kg
1096,72kg
1097,70kg
1098,80kg
1099,78kg
1100,77kg
1101,75kg
1102,70kg
1103,71kg
1104,71kg
1105,75kg
1106,63kg
1107,83kg
1108,70kg
1109,83kg
1110,82kg
1111,75kg
1112,77kg
1113,80kg
1114,73kg
1115,87kg
1116,76kg
1117,77kg
1118,70kg
1119,87kg
1120,84kg
1121,70kg
1122,70kg
1123,76kg
1124,74kg
1125,74kg
1126,72kg
1127,80kg
1128,72kg
1129,63kg
1130,83kg
1131,78kg
1132,78kg
1133,58kg
1134,86kg
1135,89kg
1136,70kg
1137,80kg
1138,75kg
1139,60kg
1140,72kg
1141,76kg
1142,79kg
1143,76kg
1144,85kg
1145,78kg
1146,70kg
1147,79kg
1148,75kg
1149,86kg
1150,73kg
1151,71kg
1152,78kg
1153,76kg
1154,72kg
1155,64kg
1156,84kg
1157,73kg
1158,79kg
1159,84kg
1160,82kg
1161,87kg
1162,76kg
1163,76kg
1164,74kg
1165,77kg
1166,91kg
1167,75kg
1168,81kg
1169,85kg
1170,65kg
1171,89kg
1172,80kg
1173,80kg
1174,70kg
1175,89kg
1176,76kg
1177,64kg
1178,84kg
1179,79kg
1180,81kg
1181,88kg
1182,78kg
1183,65kg
1184,67kg
1185,71kg
1186,74kg
1187,85kg
1188,85kg
1189,79kg
1190,90kg
1191,77kg
1192,65kg
1193,78kg
1194,82kg
1195,79kg
1196,68kg
1197,75kg
1198,74kg
1199,82kg
1200,86kg
1201,80kg
1202,84kg
1203,73kg
1204,66kg
1205,75kg
1206,65kg
1207,72kg
1208,79kg
1209,81kg
1210,83kg
1211,65kg
1212,64kg
1213,75kg
1214,79kg
1215,70kg
1216,80kg
1217,70kg
1218,77kg
1219,65kg
1220,93kg
1221,68kg
1222,82kg
1223,75kg
1224,75kg
1225,72kg
1226,70kg
1227,73kg
1228,73kg
1229,71kg
1230,73kg
1231,72kg
1232,84kg
1233,76kg
1234,88kg
1235,86kg
1236,73kg
1237,77kg
1238,67kg
1239,81kg
1240,87kg
1241,93kg
1242,74kg
1243,70kg
1244,62kg
1245,88kg
1246,76kg
1247,75kg
1248,90kg
1249,66kg
1250,81kg
1251,83kg
1252,87kg
1253,88kg
1254,77kg
1255,83kg
1256,80kg
1257,68kg
1258,77kg
1259,87kg
1260,82kg
1261,82kg
1262,74kg
1263,68kg
1264,76kg
1265,73kg
1266,72kg
1267,63kg
1268,77kg
1269,82kg
1270,89kg
1271,74kg
1272,74kg
1273,80kg
1274,78kg
1275,78kg
1276,75kg
1277,71kg
1278,84kg
1279,70kg
1280,86kg
1281,71kg
1282,59kg
1283,69kg
1284,76kg
1285,75kg
1286,79kg
1287,82kg
1288,68kg
1289,86kg
1290,71kg
1291,76kg
1292,73kg
1293,89kg
1294,75kg
1295,68kg
1296,59kg
1297,75kg
1298,70kg
1299,66kg
1300,69kg
1301,79kg
1302,73kg
1303,84kg
1304,80kg
1305,70kg
1306,79kg
1307,70kg
1308,75kg
1309,76kg
1310,76kg
1311,88kg
1312,77kg
1313,77kg
1314,65kg
1315,82kg
1316,75kg
1317,89kg
1318,80kg
1319,76kg
1320,79kg
1321,78kg
1322,76kg
1323,82kg
1324,82kg
1325,82kg
1326,82kg
1327,78kg
1328,75kg
1329,80kg
1330,78kg
1331,77kg
1332,74kg
1333,73kg
1334,64kg
1335,78kg
1336,77kg
1337,78kg
1338,76kg
1339,74kg
1340,76kg
1341,102kg
1342,88kg
1343,80kg
1344,75kg
1345,64kg
1346,74kg
1347,70kg
1348,78kg
1349,64kg
1350,76kg
1351,80kg
1352,69kg
1353,80kg
1354,86kg
1355,79kg
1356,77kg
1357,73kg
1358,80kg
1359,79kg
1360,64kg
1361,82kg
1362,78kg
1363,79kg
1364,85kg
1365,86kg
1366,76kg
1367,75kg
1368,81kg
1369,84kg
1370,81kg
1371,69kg
1372,71kg
1373,81kg
1374,74kg
1375,76kg
1376,76kg
1377,76kg
1378,73kg
1379,67kg
1380,83kg
1381,65kg
1382,87kg
1383,79kg
1384,87kg
1385,72kg
1386,78kg
1387,76kg
1388,85kg
1389,75kg
1390,85kg
1391,85kg
1392,77kg
1393,78kg
1394,80kg
1395,70kg
1396,67kg
1397,80kg
1398,70kg
1399,74kg
1400,74kg
1401,70kg
1402,78kg
1403,73kg
1404,83kg
1405,82kg
1406,75kg
1407,71kg
1408,81kg
1409,77kg
1410,70kg
1411,88kg
1412,76kg
1413,68kg
1414,59kg
1415,63kg
1416,76kg
1417,71kg
1418,82kg
1419,85kg
1420,69kg
1421,69kg
1422,70kg
1423,76kg
1424,73kg
1425,87kg
1426,79kg
1427,95kg
1428,95kg
1429,78kg
1430,74kg
1431,79kg
1432,86kg
1433,73kg
1434,81kg
1435,72kg
1436,84kg
1437,78kg
1438,86kg
1439,74kg
1440,90kg
1441,67kg
1442,65kg
1443,79kg
1444,84kg
1445,80kg
1446,86kg
1447,70kg
1448,73kg
1449,80kg
1450,75kg
1451,81kg
1452,66kg
1453,84kg
1454,89kg
1455,74kg
1456,81kg
1457,79kg
1458,80kg
1459,64kg
1460,76kg
1461,77kg
1462,71kg
1463,92kg
1464,83kg
1465,90kg
1466,90kg
1467,90kg
1468,61kg
1469,84kg
1470,78kg
1471,80kg
1472,80kg
1473,72kg
1474,78kg
1475,97kg
1476,75kg
1477,93kg
1478,70kg
1479,70kg
1480,67kg
1481,71kg
1482,90kg
1483,76kg
1484,74kg
1485,88kg
1486,75kg
1487,69kg
1488,80kg
1489,101kg
1490,73kg
1491,83kg
1492,72kg
1493,78kg
1494,87kg
1495,76kg
1496,74kg
1497,82kg
1498,76kg
1499,77kg
1500,81kg
1501,74kg
1502,83kg
1503,91kg
1504,64kg
1505,76kg
1506,65kg
1507,75kg
1508,74kg
1509,73kg
1510,70kg
1511,82kg
1512,82kg
1513,73kg
1514,82kg
1515,80kg
1516,85kg
1517,73kg
1518,73kg
1519,83kg
1520,74kg
1521,89kg
1522,77kg
1523,71kg
1524,79kg
1525,79kg
1526,66kg
1527,82kg
1528,66kg
1529,77kg
1530,77kg
1531,76kg
1532,79kg
1533,73kg
1534,66kg
1535,84kg
1536,80kg
1537,65kg
1538,82kg
1539,75kg
1540,90kg
1541,69kg
1542,85kg
1543,70kg
1544,92kg
1545,72kg
1546,58kg
1547,80kg
1548,82kg
1549,88kg
1550,73kg
1551,92kg
1552,88kg
1553,81kg
1554,70kg
1555,84kg
1556,84kg
1557,83kg
1558,66kg
1559,89kg
1560,81kg
1561,70kg
1562,75kg
1563,65kg
1564,76kg
1565,73kg
1566,83kg
1567,78kg
1568,77kg
1569,78kg
1570,72kg
1571,78kg
1572,70kg
1573,70kg
1574,70kg
1575,69kg
1576,68kg
1577,88kg
1578,69kg
1579,83kg
1580,84kg
1581,84kg
1582,78kg
1583,73kg
1584,67kg
1585,82kg
1586,76kg
1587,62kg
1588,79kg
1589,70kg
1590,75kg
1591,78kg
1592,86kg
1593,78kg
1594,77kg
1595,77kg
1596,72kg
1597,76kg
1598,72kg
1599,77kg
