,Weight
9537,77kg
9538,75kg
9539,78kg
9540,75kg
9541,75kg
9542,80kg
9543,90kg
9544,67kg
9545,84kg
9546,75kg
9547,76kg
9548,74kg
9549,65kg
9550,81kg
9551,75kg
9552,74kg
9553,67kg
9554,75kg
9555,78kg
9556,70kg
9557,69kg
9558,69kg
9559,78kg
9560,67kg
9561,72kg
9562,68kg
9563,80kg
9564,75kg
9565,78kg
9566,75kg
9567,78kg
9568,84kg
9569,68kg
9570,86kg
9571,72kg
9572,73kg
9573,70kg
9574,80kg
9575,66kg
9576,72kg
9577,74kg
9578,70kg
9579,72kg
9580,69kg
9581,80kg
9582,74kg
9583,75kg
9584,79kg
9585,85kg
9586,68kg
9587,75kg
9588,75kg
9589,76kg
9590,80kg
9591,70kg
9592,77kg
9593,78kg
9594,78kg
9595,64kg
9596,74kg
9597,65kg
9598,75kg
9599,80kg
9600,75kg
9601,60kg
9602,64kg
9603,90kg
9604,80kg
9605,80kg
9606,77kg
9607,71kg
9608,82kg
9609,68kg
9610,84kg
9611,72kg
9612,79kg
9613,76kg
9614,81kg
9615,66kg
9616,89kg
9617,68kg
9618,73kg
9619,74kg
9620,64kg
9621,62kg
9622,81kg
9623,68kg
9624,88kg
9625,78kg
9626,78kg
9627,78kg
9628,83kg
9629,69kg
9630,86kg
9631,84kg
9632,77kg
9633,68kg
9634,76kg
9635,86kg
9636,85kg
9637,73kg
9638,72kg
9639,72kg
9640,77kg
9641,82kg
9642,72kg
9643,75kg
9644,72kg
9645,77kg
9646,73kg
9647,76kg
9648,80kg
9649,74kg
9650,70kg
9651,76kg
9652,79kg
9653,77kg
9654,73kg
9655,70kg
9656,88kg
9657,78kg
9658,82kg
9659,72kg
9660,78kg
9661,74kg
9662,72kg
9663,74kg
9664,70kg
9665,83kg
9666,83kg
9667,86kg
9668,73kg
9669,77kg
9670,65kg
9671,88kg
9672,68kg
9673,77kg
9674,81kg
9675,74kg
9676,72kg
9677,85kg
9678,72kg
9679,70kg
9680,80kg
9681,72kg
9682,75kg
9683,89kg
9684,82kg
9685,87kg
9686,79kg
9687,74kg
9688,80kg
9689,81kg
9690,81kg
9691,88kg
9692,81kg
9693,78kg
9694,79kg
9695,71kg
9696,79kg
9697,73kg
9698,72kg
9699,78kg
9700,77kg
9701,86kg
9702,85kg
9703,71kg
9704,64kg
9705,80kg
9706,78kg
9707,79kg
9708,82kg
9709,85kg
9710,65kg
9711,91kg
9712,70kg
9713,78kg
9714,75kg
9715,75kg
9716,78kg
9717,66kg
9718,83kg
9719,70kg
9720,110kg
9721,93kg
9722,74kg
9723,71kg
9724,60kg
9725,68kg
9726,91kg
9727,77kg
9728,87kg
9729,67kg
9730,67kg
9731,73kg
9732,74kg
9733,68kg
9734,74kg
9735,83kg
9736,92kg
9737,85kg
9738,78kg
9739,78kg
9740,80kg
9741,80kg
9742,71kg
9743,77kg
9744,78kg
9745,75kg
9746,67kg
9747,78kg
9748,66kg
9749,70kg
9750,78kg
9751,68kg
9752,80kg
9753,75kg
9754,72kg
9755,77kg
9756,69kg
9757,76kg
9758,88kg
9759,79kg
9760,89kg
9761,79kg
9762,69kg
9763,70kg
9764,70kg
9765,77kg
9766,72kg
9767,80kg
9768,70kg
9769,69kg
9770,75kg
9771,70kg
9772,72kg
9773,65kg
9774,83kg
9775,69kg
9776,72kg
9777,92kg
9778,75kg
9779,84kg
9780,85kg
9781,70kg
9782,75kg
9783,77kg
9784,72kg
9785,80kg
9786,62kg
9787,71kg
9788,72kg
9789,75kg
9790,75kg
9791,58kg
9792,58kg
9793,79kg
9794,70kg
9795,68kg
9796,73kg
9797,74kg
9798,80kg
9799,83kg
9800,88kg
9801,68kg
9802,78kg
9803,74kg
9804,67kg
9805,71kg
9806,76kg
9807,67kg
9808,65kg
9809,82kg
9810,78kg
9811,71kg
9812,85kg
9813,74kg
9814,85kg
9815,70kg
9816,83kg
9817,71kg
9818,65kg
9819,75kg
9820,74kg
9821,74kg
9822,80kg
9823,73kg
9824,71kg
9825,91kg
9826,85kg
9827,89kg
9828,77kg
9829,91kg
9830,66kg
9831,85kg
9832,66kg
9833,73kg
9834,73kg
9835,85kg
9836,75kg
9837,81kg
9838,84kg
9839,64kg
9840,72kg
9841,68kg
9842,75kg
9843,75kg
9844,86kg
9845,75kg
9846,66kg
9847,70kg
9848,76kg
9849,77kg
9850,69kg
9851,84kg
9852,74kg
9853,77kg
9854,77kg
9855,61kg
9856,76kg
9857,58kg
9858,75kg
9859,72kg
9860,82kg
9861,66kg
9862,75kg
9863,76kg
9864,74kg
9865,89kg
9866,76kg
9867,85kg
9868,58kg
9869,64kg
9870,68kg
9871,80kg
9872,73kg
9873,81kg
9874,81kg
9875,75kg
9876,72kg
9877,73kg
9878,78kg
9879,81kg
9880,72kg
9881,72kg
9882,70kg
9883,75kg
9884,77kg
9885,76kg
9886,74kg
9887,63kg
9888,80kg
9889,71kg
9890,56kg
9891,78kg
9892,94kg
9893,72kg
9894,72kg
9895,78kg
9896,80kg
9897,90kg
9898,67kg
9899,87kg
9900,69kg
9901,68kg
9902,75kg
9903,79kg
9904,80kg
9905,80kg
9906,82kg
9907,70kg
9908,78kg
9909,68kg
9910,93kg
9911,80kg
9912,78kg
9913,78kg
9914,78kg
9915,76kg
9916,64kg
9917,79kg
9918,80kg
9919,76kg
9920,73kg
9921,63kg
9922,71kg
9923,93kg
9924,63kg
9925,77kg
9926,84kg
9927,73kg
9928,87kg
9929,74kg
9930,65kg
9931,72kg
9932,72kg
9933,76kg
9934,70kg
9935,76kg
9936,75kg
9937,94kg
9938,86kg
9939,77kg
9940,72kg
9941,79kg
9942,74kg
9943,69kg
9944,78kg
9945,78kg
9946,71kg
9947,72kg
9948,79kg
9949,73kg
9950,91kg
9951,70kg
9952,78kg
9953,81kg
9954,78kg
9955,74kg
9956,81kg
9957,76kg
9958,73kg
9959,96kg
9960,86kg
9961,72kg
9962,83kg
9963,66kg
9964,69kg
9965,79kg
9966,70kg
9967,70kg
9968,78kg
9969,86kg
9970,75kg
9971,77kg
9972,72kg
9973,70kg
9974,89kg
9975,72kg
9976,88kg
9977,85kg
9978,83kg
9979,69kg
9980,67kg
9981,68kg
9982,68kg
9983,76kg
9984,76kg
9985,68kg
9986,70kg
9987,80kg
9988,76kg
9989,80kg
9990,80kg
9991,81kg
9992,70kg
9993,72kg
9994,71kg
9995,80kg
9996,80kg
9997,75kg
9998,92kg
9999,90kg
10000,73kg
10001,65kg
10002,70kg
10003,88kg
10004,75kg
10005,78kg
10006,88kg
10007,78kg
10008,85kg
10009,65kg
10010,75kg
10011,66kg
10012,84kg
10013,85kg
10014,70kg
10015,79kg
10016,81kg
10017,81kg
10018,79kg
10019,72kg
10020,83kg
10021,71kg
10022,83kg
10023,76kg
10024,67kg
10025,75kg
10026,83kg
10027,83kg
10028,67kg
10029,76kg
10030,61kg
10031,67kg
10032,64kg
10033,84kg
10034,74kg
10035,72kg
10036,60kg
10037,74kg
10038,75kg
10039,79kg
10040,84kg
10041,77kg
10042,72kg
10043,69kg
10044,73kg
10045,75kg
10046,65kg
10047,65kg
10048,87kg
10049,66kg
10050,82kg
10051,68kg
10052,74kg
10053,57kg
10054,72kg
10055,81kg
10056,74kg
10057,85kg
10058,79kg
10059,69kg
10060,76kg
10061,80kg
10062,71kg
10063,70kg
10064,78kg
10065,69kg
10066,79kg
10067,74kg
10068,71kg
10069,84kg
10070,68kg
10071,70kg
10072,69kg
10073,90kg
10074,83kg
10075,68kg
10076,68kg
10077,80kg
10078,78kg
10079,70kg
10080,70kg
10081,79kg
10082,74kg
10083,88kg
10084,69kg
10085,83kg
10086,79kg
10087,83kg
10088,82kg
10089,82kg
10090,79kg
10091,71kg
10092,80kg
10093,80kg
10094,84kg
10095,72kg
10096,89kg
10097,70kg
10098,70kg
10099,71kg
10100,93kg
10101,83kg
10102,72kg
10103,71kg
10104,79kg
10105,83kg
10106,68kg
10107,81kg
10108,84kg
10109,80kg
10110,74kg
10111,71kg
10112,70kg
10113,74kg
10114,71kg
10115,74kg
10116,75kg
10117,69kg
10118,81kg
10119,78kg
10120,65kg
10121,80kg
10122,82kg
10123,74kg
10124,75kg
10125,68kg
10126,77kg
10127,83kg
10128,68kg
10129,77kg
10130,76kg
10131,71kg
10132,74kg
10133,69kg
10134,70kg
10135,74kg
10136,80kg
10137,65kg
10138,73kg
10139,78kg
10140,67kg
10141,78kg
10142,72kg
10143,77kg
10144,75kg
10145,82kg
10146,74kg
10147,75kg
10148,72kg
10149,72kg
10150,65kg
10151,73kg
10152,73kg
10153,75kg
10154,83kg
10155,71kg
10156,77kg
10157,70kg
10158,70kg
10159,75kg
10160,81kg
10161,67kg
10162,74kg
10163,78kg
10164,85kg
10165,79kg
10166,90kg
10167,67kg
10168,81kg
10169,71kg
10170,72kg
10171,75kg
10172,68kg
10173,74kg
10174,70kg
10175,83kg
10176,86kg
10177,76kg
10178,69kg
10179,77kg
10180,71kg
10181,75kg
10182,75kg
10183,66kg
10184,74kg
10185,68kg
10186,77kg
10187,75kg
10188,70kg
10189,82kg
10190,78kg
10191,79kg
10192,79kg
10193,73kg
10194,87kg
10195,78kg
10196,75kg
10197,77kg
10198,80kg
10199,70kg
10200,70kg
10201,92kg
10202,72kg
10203,78kg
10204,81kg
10205,72kg
10206,90kg
10207,87kg
10208,64kg
10209,80kg
10210,76kg
10211,77kg
10212,71kg
10213,78kg
10214,79kg
10215,71kg
10216,71kg
10217,73kg
10218,74kg
10219,72kg
10220,88kg
10221,69kg
10222,65kg
10223,75kg
10224,79kg
10225,75kg
10226,70kg
10227,78kg
10228,68kg
10229,63kg
10230,83kg
10231,78kg
10232,70kg
10233,71kg
10234,70kg
10235,82kg
10236,79kg
10237,80kg
10238,72kg
10239,72kg
10240,65kg
10241,90kg
10242,74kg
10243,79kg
10244,84kg
10245,76kg
10246,80kg
10247,70kg
10248,88kg
10249,62kg
10250,78kg
10251,78kg
10252,71kg
10253,78kg
10254,79kg
10255,70kg
10256,78kg
10257,72kg
10258,78kg
10259,68kg
10260,83kg
10261,70kg
10262,70kg
10263,65kg
10264,70kg
10265,70kg
10266,83kg
10267,77kg
10268,82kg
10269,66kg
10270,86kg
10271,78kg
10272,81kg
10273,86kg
10274,72kg
10275,79kg
10276,91kg
10277,74kg
10278,80kg
10279,78kg
10280,83kg
10281,75kg
10282,84kg
10283,79kg
10284,79kg
10285,75kg
10286,77kg
10287,70kg
10288,75kg
10289,80kg
10290,81kg
10291,87kg
10292,81kg
10293,73kg
10294,65kg
10295,69kg
10296,74kg
10297,82kg
10298,60kg
10299,86kg
10300,80kg
10301,75kg
10302,75kg
10303,75kg
10304,91kg
10305,67kg
10306,71kg
10307,68kg
10308,63kg
10309,90kg
10310,85kg
10311,76kg
10312,82kg
10313,73kg
10314,67kg
10315,75kg
10316,80kg
10317,64kg
10318,83kg
10319,76kg
10320,77kg
10321,80kg
10322,60kg
10323,77kg
10324,71kg
10325,70kg
10326,85kg
10327,75kg
10328,89kg
10329,72kg
10330,83kg
10331,79kg
10332,81kg
10333,78kg
10334,73kg
10335,65kg
10336,82kg
10337,82kg
10338,75kg
10339,86kg
10340,74kg
10341,74kg
10342,78kg
10343,85kg
10344,68kg
10345,70kg
10346,83kg
10347,87kg
10348,74kg
10349,79kg
10350,76kg
10351,79kg
10352,64kg
10353,64kg
10354,77kg
10355,87kg
10356,70kg
10357,75kg
10358,80kg
10359,77kg
10360,70kg
10361,70kg
10362,78kg
10363,68kg
10364,78kg
10365,78kg
10366,65kg
10367,81kg
10368,76kg
10369,71kg
10370,82kg
10371,74kg
10372,64kg
10373,77kg
10374,77kg
10375,71kg
10376,81kg
10377,80kg
10378,60kg
10379,82kg
10380,84kg
10381,80kg
10382,83kg
10383,80kg
10384,75kg
10385,65kg
10386,83kg
10387,79kg
10388,75kg
10389,76kg
10390,80kg
10391,76kg
10392,79kg
10393,69kg
10394,70kg
10395,69kg
10396,74kg
10397,83kg
10398,64kg
10399,80kg
10400,75kg
10401,78kg
10402,63kg
10403,80kg
10404,80kg
10405,82kg
10406,86kg
10407,84kg
10408,83kg
10409,83kg
10410,67kg
10411,83kg
10412,87kg
10413,80kg
10414,65kg
10415,78kg
10416,72kg
10417,70kg
10418,79kg
10419,82kg
10420,76kg
10421,78kg
10422,76kg
10423,69kg
10424,77kg
10425,76kg
10426,81kg
10427,97kg
10428,64kg
10429,68kg
10430,81kg
10431,80kg
10432,78kg
10433,74kg
10434,70kg
10435,77kg
10436,91kg
10437,83kg
10438,64kg
10439,73kg
10440,72kg
10441,87kg
10442,75kg
10443,76kg
10444,71kg
10445,70kg
10446,69kg
10447,81kg
10448,64kg
10449,83kg
10450,69kg
10451,77kg
10452,76kg
10453,74kg
10454,70kg
10455,70kg
10456,90kg
10457,78kg
10458,75kg
10459,67kg
10460,74kg
10461,84kg
10462,72kg
10463,76kg
10464,70kg
10465,76kg
10466,75kg
10467,69kg
10468,82kg
10469,83kg
10470,73kg
10471,69kg
10472,72kg
10473,80kg
10474,70kg
10475,88kg
10476,69kg
10477,88kg
10478,79kg
10479,79kg
10480,63kg
10481,70kg
10482,75kg
10483,82kg
10484,71kg
10485,82kg
10486,68kg
10487,87kg
10488,72kg
10489,66kg
10490,96kg
10491,78kg
10492,86kg
10493,83kg
10494,74kg
10495,69kg
10496,67kg
10497,72kg
10498,72kg
10499,75kg
10500,73kg
10501,64kg
10502,69kg
10503,79kg
10504,75kg
10505,72kg
10506,72kg
10507,73kg
10508,74kg
10509,77kg
10510,71kg
10511,73kg
10512,80kg
10513,78kg
10514,67kg
10515,75kg
10516,80kg
10517,77kg
10518,83kg
10519,76kg
10520,70kg
10521,67kg
10522,75kg
10523,80kg
10524,75kg
10525,70kg
10526,91kg
10527,83kg
10528,77kg
10529,77kg
10530,72kg
10531,75kg
10532,81kg
10533,72kg
10534,80kg
10535,77kg
10536,86kg
10537,76kg
10538,73kg
10539,69kg
10540,72kg
10541,72kg
10542,72kg
10543,75kg
10544,78kg
10545,89kg
10546,67kg
10547,75kg
10548,74kg
10549,71kg
10550,70kg
10551,77kg
10552,78kg
10553,76kg
10554,60kg
10555,84kg
10556,76kg
10557,76kg
10558,75kg
10559,77kg
10560,84kg
10561,77kg
10562,71kg
10563,65kg
10564,63kg
10565,73kg
10566,78kg
10567,83kg
10568,71kg
10569,69kg
10570,69kg
10571,78kg
10572,77kg
10573,79kg
10574,76kg
10575,80kg
10576,74kg
10577,74kg
10578,82kg
10579,75kg
10580,66kg
10581,72kg
10582,82kg
10583,65kg
10584,72kg
10585,72kg
10586,70kg
10587,63kg
10588,72kg
10589,84kg
10590,78kg
10591,71kg
10592,77kg
10593,76kg
10594,66kg
10595,65kg
10596,77kg
10597,74kg
10598,68kg
10599,78kg
10600,70kg
10601,69kg
10602,78kg
10603,80kg
10604,74kg
10605,67kg
10606,75kg
10607,78kg
10608,78kg
10609,82kg
10610,67kg
10611,69kg
10612,81kg
10613,61kg
10614,75kg
10615,79kg
10616,75kg
10617,64kg
10618,84kg
10619,69kg
10620,76kg
10621,65kg
10622,74kg
10623,86kg
10624,78kg
10625,63kg
10626,87kg
10627,70kg
10628,70kg
10629,73kg
10630,80kg
10631,81kg
10632,67kg
10633,75kg
10634,79kg
10635,70kg
10636,80kg
10637,74kg
10638,75kg
10639,80kg
10640,70kg
10641,70kg
10642,72kg
10643,89kg
10644,82kg
10645,67kg
10646,86kg
10647,72kg
10648,83kg
10649,72kg
10650,60kg
10651,84kg
10652,70kg
10653,79kg
10654,78kg
10655,73kg
10656,66kg
10657,76kg
10658,74kg
10659,74kg
10660,79kg
10661,69kg
10662,68kg
10663,68kg
10664,65kg
10665,85kg
10666,79kg
10667,60kg
10668,76kg
10669,79kg
10670,83kg
10671,73kg
10672,70kg
10673,70kg
10674,69kg
10675,93kg
10676,69kg
10677,76kg
10678,85kg
10679,74kg
10680,74kg
10681,83kg
10682,75kg
10683,81kg
10684,81kg
10685,63kg
10686,80kg
10687,79kg
10688,68kg
10689,70kg
10690,72kg
10691,81kg
10692,79kg
10693,87kg
10694,70kg
10695,77kg
10696,77kg
10697,73kg
10698,82kg
10699,87kg
10700,74kg
10701,70kg
10702,80kg
10703,84kg
10704,69kg
10705,74kg
10706,77kg
10707,75kg
10708,81kg
10709,77kg
10710,77kg
10711,68kg
10712,81kg
10713,83kg
10714,76kg
10715,65kg
10716,87kg
10717,75kg
10718,70kg
10719,68kg
10720,77kg
10721,73kg
10722,78kg
10723,72kg
10724,70kg
10725,79kg
10726,65kg
10727,81kg
10728,87kg
10729,82kg
10730,73kg
10731,79kg
10732,75kg
10733,78kg
10734,76kg
10735,74kg
10736,66kg
10737,64kg
10738,78kg
10739,72kg
10740,90kg
10741,67kg
10742,83kg
10743,79kg
10744,75kg
10745,72kg
10746,82kg
10747,70kg
10748,77kg
10749,70kg
10750,70kg
10751,80kg
10752,77kg
10753,70kg
10754,73kg
10755,70kg
10756,75kg
10757,74kg
10758,67kg
10759,83kg
10760,77kg
10761,77kg
10762,82kg
10763,72kg
10764,78kg
10765,74kg
10766,73kg
10767,73kg
10768,85kg
10769,87kg
10770,74kg
10771,77kg
10772,74kg
10773,92kg
10774,82kg
10775,74kg
10776,70kg
10777,78kg
10778,83kg
10779,72kg
10780,75kg
10781,78kg
10782,75kg
10783,63kg
10784,88kg
10785,76kg
10786,65kg
10787,79kg
10788,72kg
10789,85kg
10790,75kg
10791,69kg
10792,70kg
10793,75kg
10794,86kg
10795,70kg
10796,82kg
10797,79kg
10798,67kg
10799,73kg
10800,66kg
10801,82kg
10802,75kg
10803,65kg
10804,73kg
10805,71kg
10806,75kg
10807,68kg
10808,70kg
10809,75kg
10810,72kg
10811,71kg
10812,71kg
10813,77kg
10814,81kg
10815,67kg
10816,77kg
10817,81kg
10818,70kg
10819,79kg
10820,68kg
10821,70kg
10822,86kg
10823,70kg
10824,76kg
10825,63kg
10826,63kg
10827,86kg
10828,79kg
10829,63kg
10830,79kg
10831,87kg
10832,65kg
10833,74kg
10834,70kg
10835,79kg
10836,91kg
10837,72kg
10838,67kg
10839,78kg
10840,74kg
10841,77kg
10842,77kg
10843,80kg
10844,59kg
10845,70kg
10846,80kg
10847,79kg
10848,79kg
10849,72kg
10850,78kg
10851,70kg
10852,71kg
10853,77kg
10854,70kg
10855,74kg
10856,65kg
10857,86kg
10858,85kg
10859,77kg
10860,78kg
10861,73kg
10862,85kg
10863,85kg
10864,67kg
10865,65kg
10866,71kg
10867,73kg
10868,68kg
10869,77kg
10870,75kg
10871,93kg
10872,58kg
10873,80kg
10874,64kg
10875,76kg
10876,76kg
10877,74kg
10878,65kg
10879,73kg
10880,84kg
10881,85kg
10882,68kg
10883,75kg
10884,81kg
10885,77kg
10886,83kg
10887,62kg
10888,88kg
10889,65kg
10890,74kg
10891,81kg
10892,69kg
10893,78kg
10894,77kg
10895,86kg
10896,76kg
10897,81kg
10898,85kg
10899,78kg
10900,84kg
10901,82kg
10902,83kg
10903,65kg
10904,93kg
10905,81kg
10906,81kg
10907,84kg
10908,76kg
10909,66kg
10910,66kg
10911,64kg
10912,70kg
10913,74kg
10914,74kg
10915,78kg
10916,83kg
10917,65kg
10918,75kg
10919,75kg
10920,77kg
10921,95kg
10922,77kg
10923,92kg
10924,60kg
10925,75kg
10926,69kg
10927,76kg
10928,68kg
10929,72kg
10930,78kg
10931,72kg
10932,71kg
10933,82kg
10934,65kg
10935,77kg
10936,72kg
10937,70kg
10938,83kg
10939,80kg
10940,77kg
10941,64kg
10942,77kg
10943,70kg
10944,72kg
10945,70kg
10946,75kg
10947,76kg
10948,70kg
10949,72kg
10950,68kg
10951,80kg
10952,81kg
10953,60kg
10954,69kg
10955,76kg
10956,71kg
10957,63kg
10958,82kg
10959,84kg
10960,75kg
10961,77kg
10962,70kg
10963,70kg
10964,62kg
10965,62kg
10966,66kg
10967,61kg
10968,83kg
10969,82kg
10970,84kg
10971,78kg
10972,78kg
10973,79kg
10974,70kg
10975,84kg
10976,72kg
10977,88kg
10978,85kg
10979,72kg
10980,70kg
10981,79kg
10982,76kg
10983,74kg
10984,72kg
10985,66kg
10986,82kg
10987,60kg
10988,73kg
10989,82kg
10990,83kg
10991,69kg
10992,77kg
10993,67kg
10994,87kg
10995,79kg
10996,70kg
10997,74kg
10998,79kg
10999,69kg
11000,79kg
11001,71kg
11002,79kg
11003,75kg
11004,63kg
11005,79kg
11006,82kg
11007,72kg
11008,80kg
11009,68kg
11010,78kg
11011,74kg
11012,87kg
11013,70kg
11014,83kg
11015,80kg
11016,80kg
11017,77kg
11018,70kg
11019,74kg
11020,65kg
11021,78kg
11022,88kg
11023,82kg
11024,84kg
11025,79kg
11026,75kg
11027,66kg
11028,75kg
11029,70kg
11030,75kg
11031,81kg
11032,77kg
11033,63kg
11034,67kg
11035,77kg
11036,72kg
11037,93kg
11038,70kg
11039,76kg
11040,66kg
11041,89kg
11042,73kg
11043,74kg
11044,79kg
11045,76kg
11046,75kg
11047,67kg
11048,75kg
11049,83kg
11050,74kg
11051,79kg
11052,64kg
11053,72kg
11054,76kg
11055,80kg
11056,86kg
11057,80kg
11058,72kg
11059,79kg
11060,75kg
11061,73kg
11062,72kg
11063,70kg
11064,82kg
11065,81kg
11066,78kg
11067,78kg
11068,82kg
11069,82kg
11070,69kg
11071,72kg
11072,78kg
11073,80kg
11074,73kg
11075,85kg
11076,64kg
11077,77kg
11078,78kg
11079,74kg
11080,70kg
11081,70kg
11082,81kg
11083,75kg
11084,78kg
11085,75kg
11086,72kg
11087,90kg
11088,70kg
11089,79kg
11090,76kg
11091,63kg
11092,77kg
11093,74kg
11094,73kg
11095,67kg
11096,76kg
11097,79kg
11098,76kg
11099,72kg
11100,92kg
11101,66kg
11102,90kg
11103,66kg
11104,71kg
11105,75kg
11106,85kg
11107,74kg
11108,75kg
11109,61kg
11110,80kg
11111,74kg
11112,78kg
11113,75kg
11114,78kg
11115,79kg
11116,79kg
11117,80kg
11118,80kg
11119,73kg
11120,72kg
11121,72kg
11122,72kg
11123,82kg
11124,79kg
11125,76kg
11126,78kg
11127,82kg
11128,76kg
11129,70kg
11130,80kg
11131,74kg
11132,67kg
11133,70kg
11134,80kg
11135,74kg
11136,72kg
11137,77kg
11138,80kg
11139,68kg
11140,75kg
11141,82kg
11142,82kg
11143,78kg
11144,72kg
11145,72kg
11146,69kg
11147,85kg
11148,68kg
11149,65kg
11150,77kg
11151,86kg
11152,78kg
11153,78kg
11154,70kg
11155,71kg
11156,75kg
11157,78kg
11158,71kg
11159,77kg
11160,74kg
11161,83kg
11162,73kg
11163,71kg
11164,82kg
11165,81kg
11166,77kg
11167,79kg
11168,78kg
11169,78kg
11170,90kg
11171,78kg
11172,68kg
11173,78kg
11174,77kg
11175,70kg
11176,83kg
11177,70kg
11178,62kg
11179,76kg
11180,81kg
11181,85kg
11182,90kg
11183,87kg
11184,73kg
11185,79kg
11186,67kg
11187,77kg
11188,76kg
11189,68kg
11190,82kg
11191,70kg
11192,80kg
11193,82kg
11194,74kg
11195,78kg
11196,94kg
11197,74kg
11198,85kg
11199,86kg
11200,68kg
11201,67kg
11202,76kg
11203,74kg
11204,65kg
11205,74kg
11206,71kg
11207,97kg
11208,85kg
11209,68kg
11210,78kg
11211,73kg
11212,85kg
11213,77kg
11214,79kg
11215,70kg
11216,75kg
11217,84kg
11218,77kg
11219,79kg
11220,79kg
11221,73kg
11222,77kg
11223,72kg
11224,60kg
11225,82kg
11226,73kg
11227,83kg
11228,62kg
11229,72kg
11230,80kg
11231,80kg
11232,73kg
11233,72kg
11234,69kg
11235,73kg
11236,81kg
11237,70kg
11238,79kg
11239,73kg
11240,75kg
11241,68kg
11242,67kg
11243,81kg
11244,81kg
11245,77kg
11246,74kg
11247,68kg
11248,83kg
11249,78kg
11250,64kg
11251,95kg
11252,92kg
11253,86kg
11254,70kg
11255,76kg
11256,71kg
11257,78kg
11258,79kg
11259,69kg
11260,67kg
11261,69kg
11262,65kg
11263,81kg
11264,78kg
11265,79kg
11266,72kg
11267,69kg
11268,78kg
11269,84kg
11270,71kg
11271,71kg
11272,71kg
11273,79kg
11274,66kg
11275,80kg
11276,67kg
11277,63kg
11278,78kg
11279,84kg
11280,70kg
11281,70kg
11282,80kg
11283,75kg
11284,80kg
11285,77kg
11286,78kg
11287,84kg
11288,87kg
11289,75kg
11290,78kg
11291,71kg
11292,69kg
11293,75kg
11294,70kg
11295,66kg
11296,72kg
11297,74kg
11298,70kg
11299,70kg
11300,72kg
11301,95kg
11302,80kg
11303,71kg
11304,71kg
11305,75kg
11306,74kg
11307,86kg
11308,73kg
11309,71kg
11310,75kg
11311,73kg
11312,74kg
11313,90kg
11314,73kg
11315,65kg
11316,66kg
11317,68kg
11318,70kg
11319,90kg
11320,79kg
11321,68kg
11322,68kg
11323,78kg
11324,78kg
11325,87kg
11326,75kg
11327,78kg
11328,78kg
11329,76kg
11330,70kg
11331,68kg
11332,74kg
11333,79kg
11334,72kg
11335,75kg
11336,74kg
11337,69kg
11338,85kg
11339,78kg
11340,73kg
11341,71kg
11342,78kg
11343,78kg
11344,84kg
11345,68kg
11346,84kg
11347,70kg
11348,75kg
11349,73kg
11350,81kg
11351,84kg
11352,88kg
11353,70kg
11354,75kg
11355,81kg
11356,84kg
11357,73kg
11358,84kg
11359,71kg
11360,81kg
11361,89kg
11362,76kg
11363,89kg
11364,79kg
11365,81kg
11366,86kg
11367,75kg
11368,66kg
11369,77kg
11370,79kg
11371,85kg
11372,77kg
11373,77kg
11374,75kg
11375,67kg
11376,70kg
11377,72kg
11378,84kg
11379,80kg
11380,64kg
11381,76kg
11382,77kg
11383,70kg
11384,89kg
11385,65kg
11386,65kg
11387,87kg
11388,75kg
11389,80kg
11390,67kg
11391,79kg
11392,76kg
11393,72kg
11394,77kg
11395,77kg
11396,74kg
11397,71kg
11398,59kg
11399,77kg
11400,80kg
11401,81kg
11402,84kg
11403,83kg
11404,78kg
11405,70kg
11406,93kg
11407,71kg
11408,71kg
11409,61kg
11410,70kg
11411,76kg
11412,67kg
11413,68kg
11414,75kg
11415,80kg
11416,75kg
11417,74kg
11418,68kg
11419,66kg
11420,76kg
11421,75kg
11422,68kg
11423,90kg
11424,90kg
11425,77kg
11426,84kg
11427,79kg
11428,75kg
11429,74kg
11430,69kg
11431,65kg
11432,75kg
11433,74kg
11434,67kg
11435,78kg
11436,62kg
11437,65kg
11438,80kg
11439,76kg
11440,69kg
11441,74kg
11442,72kg
11443,73kg
11444,68kg
11445,75kg
11446,81kg
11447,75kg
11448,64kg
11449,64kg
11450,94kg
11451,80kg
11452,68kg
11453,72kg
11454,69kg
11455,68kg
11456,64kg
11457,73kg
11458,68kg
11459,90kg
11460,80kg
11461,72kg
11462,75kg
11463,67kg
11464,78kg
11465,74kg
11466,75kg
11467,65kg
11468,74kg
11469,92kg
11470,68kg
11471,57kg
11472,73kg
11473,78kg
11474,63kg
11475,63kg
11476,73kg
11477,82kg
11478,67kg
11479,88kg
11480,82kg
11481,67kg
11482,85kg
11483,73kg
11484,94kg
11485,71kg
11486,78kg
11487,75kg
11488,76kg
11489,77kg
11490,83kg
11491,75kg
11492,88kg
11493,70kg
11494,83kg
11495,85kg
11496,72kg
11497,78kg
11498,74kg
11499,70kg
11500,75kg
11501,75kg
11502,76kg
11503,70kg
11504,70kg
11505,70kg
11506,70kg
11507,70kg
11508,68kg
11509,80kg
11510,70kg
11511,68kg
11512,72kg
11513,78kg
11514,84kg
11515,75kg
11516,70kg
11517,70kg
11518,79kg
11519,67kg
11520,82kg
11521,70kg
11522,62kg
11523,71kg
11524,68kg
11525,75kg
11526,75kg
11527,86kg
11528,74kg
11529,75kg
11530,74kg
11531,66kg
11532,73kg
11533,69kg
11534,76kg
11535,69kg
